YEAR,QUARTER,REG,AREA,EDUCATIONAL,VALUE,UNIT,SOURCE
2563,"ไตรมาสที่ 1/2563","1) กรุงเทพมหานคร","1) เขตเทศบาล","01. ไม่มีการศึกษา",208.20,พันคน,สำนักงานสถิติแห่งชาติ
2563,"ไตรมาสที่ 1/2563","1) กรุงเทพมหานคร","1) เขตเทศบาล","02. ต่ำกว่าประถมศึกษา",666.70,พันคน,สำนักงานสถิติแห่งชาติ
2563,"ไตรมาสที่ 1/2563","1) กรุงเทพมหานคร","1) เขตเทศบาล","03. ประถมศึกษา",1209.30,พันคน,สำนักงานสถิติแห่งชาติ
2563,"ไตรมาสที่ 1/2563","1) กรุงเทพมหานคร","1) เขตเทศบาล","04. มัธยมศึกษาตอนต้น",1191.70,พันคน,สำนักงานสถิติแห่งชาติ
2563,"ไตรมาสที่ 1/2563","1) กรุงเทพมหานคร","1) เขตเทศบาล","05. มัธยมศึกษาตอนปลาย สายสามัญ",1120.00,พันคน,สำนักงานสถิติแห่งชาติ
2563,"ไตรมาสที่ 1/2563","1) กรุงเทพมหานคร","1) เขตเทศบาล","06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา",353.50,พันคน,สำนักงานสถิติแห่งชาติ
2563,"ไตรมาสที่ 1/2563","1) กรุงเทพมหานคร","1) เขตเทศบาล","07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา",4.60,พันคน,สำนักงานสถิติแห่งชาติ
2563,"ไตรมาสที่ 1/2563","1) กรุงเทพมหานคร","1) เขตเทศบาล","08. อุดมศึกษา สายวิชาการ",2358.60,พันคน,สำนักงานสถิติแห่งชาติ
2563,"ไตรมาสที่ 1/2563","1) กรุงเทพมหานคร","1) เขตเทศบาล","09. อุดมศึกษา สายวิชาชีพ",369.20,พันคน,สำนักงานสถิติแห่งชาติ
2563,"ไตรมาสที่ 1/2563","1) กรุงเทพมหานคร","1) เขตเทศบาล","10. อุดมศึกษา สายวิชาการศึกษา",134.50,พันคน,สำนักงานสถิติแห่งชาติ
2563,"ไตรมาสที่ 1/2563","1) กรุงเทพมหานคร","1) เขตเทศบาล","12. ไม่ทราบ",22.40,พันคน,สำนักงานสถิติแห่งชาติ
